,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
78,Denver,32,11,21,.344,-9.64,-5.47,,7,11,,6,7,,4,12,,2257,2380,,68.5,101.7,.318,.356,.553,48.4,48.3,7.5,9.5,.526,16.9,23.2,.222
79,DePaul,31,15,16,.484,8.15,7.05,,6,14,,11,7,,4,8,,2272,2238,,70.4,103.7,.334,.342,.521,51.6,43.4,8.8,12.5,.488,14.8,31.7,.232
80,Detroit Mercy,29,14,15,.483,-5.60,-4.81,,10,7,,9,1,,5,14,,2043,2020,,65.6,107.4,.231,.492,.558,49.0,48.8,9.0,6.0,.529,15.6,28.0,.181
81,Dixie State,31,13,18,.419,-8.23,-0.23,,6,12,,10,6,,3,11,,2247,2296,,73.9,97.7,.346,.374,.517,50.4,60.3,9.0,6.3,.485,17.7,28.3,.235
82,Drake,34,24,10,.706,7.71,1.68,,13,5,,14,3,,8,2,,2498,2250,,66.4,108.3,.290,.347,.547,52.1,43.2,10.4,9.7,.513,13.8,29.8,.219
83,Drexel,29,15,14,.517,-0.49,-2.10,,10,8,,8,4,,6,7,,2112,2038,,68.0,106.1,.253,.354,.549,50.2,45.5,6.9,7.5,.525,14.1,25.3,.180
84,Duke NCAA,34,28,6,.824,19.15,6.12,,16,4,,15,3,,9,2,,2726,2283,,68.3,116.9,.286,.366,.581,53.0,57.0,9.4,13.3,.556,12.9,31.8,.208
85,Duquesne,30,6,24,.200,-6.21,1.99,,1,16,,3,11,,1,10,,1956,2202,,66.9,95.9,.219,.333,.481,47.4,40.4,9.8,10.8,.454,14.5,29.3,.155
86,East Carolina,30,15,15,.500,0.61,2.77,,6,11,,12,4,,2,7,,2063,2128,,68.9,99.0,.335,.392,.516,49.3,63.1,9.7,9.0,.471,16.3,27.5,.253
87,East Tennessee State,32,15,17,.469,-2.60,-0.20,,7,11,,8,6,,4,10,,2306,2336,,66.6,107.9,.229,.417,.541,50.0,49.2,10.1,8.7,.517,14.5,31.3,.166
88,Eastern Illinois,31,5,26,.161,-20.71,-3.61,,3,15,,4,9,,1,16,,1746,2205,,66.6,84.6,.315,.362,.485,44.4,58.9,9.5,9.2,.457,21.6,21.7,.201
89,Eastern Kentucky,31,13,18,.419,-6.55,-5.18,,5,11,,12,5,,1,13,,2457,2327,,73.0,106.5,.213,.484,.525,47.5,54.7,13.7,10.1,.503,13.3,29.7,.151
90,Eastern Michigan,31,10,21,.323,-10.46,-2.62,,5,15,,8,7,,2,14,,2143,2356,,70.7,95.5,.303,.350,.516,47.7,40.2,8.1,8.1,.485,17.1,23.0,.211
91,Eastern Washington,33,18,15,.545,-5.04,-5.27,,11,9,,9,3,,8,10,,2539,2453,,71.6,106.6,.336,.426,.563,51.9,59.5,7.6,7.9,.527,16.2,26.8,.253
92,Elon,32,10,22,.313,-6.43,1.10,,7,11,,7,7,,3,11,,2147,2311,,67.3,99.8,.258,.443,.531,48.5,52.3,7.2,7.2,.501,17.1,25.8,.190
93,Evansville,30,6,24,.200,-10.64,1.70,,2,16,,4,9,,2,11,,1775,2122,,64.2,90.3,.243,.470,.503,43.8,50.2,9.1,5.8,.475,16.0,14.3,.172
94,Fairfield,33,15,18,.455,-4.31,-4.53,,8,12,,6,9,,8,8,,2239,2177,,65.5,102.5,.261,.391,.527,50.2,48.0,8.2,7.8,.500,14.6,27.8,.184
95,Fairleigh Dickinson,26,4,22,.154,-18.01,-6.08,,4,11,,3,6,,1,16,,1748,2058,,70.4,94.6,.278,.354,.497,46.1,48.6,9.1,7.6,.464,16.9,27.7,.197
96,Florida A&M,30,13,17,.433,-11.93,-6.50,,11,7,,8,4,,5,12,,1950,2064,,67.2,95.9,.289,.265,.501,46.7,49.2,9.2,8.5,.468,16.2,26.2,.204
97,Florida Atlantic,33,19,14,.576,3.03,-1.67,,11,7,,14,5,,4,8,,2448,2241,,68.6,107.7,.292,.431,.556,53.2,50.9,10.7,7.7,.529,16.3,31.6,.207
98,Florida Gulf Coast,32,21,11,.656,-2.86,-4.83,,10,6,,15,3,,6,8,,2478,2342,,70.1,108.0,.293,.473,.556,52.8,57.3,9.3,12.9,.534,16.2,31.5,.199
99,Florida International,32,15,17,.469,-6.32,-3.12,,5,13,,11,5,,1,11,,2264,2274,,69.0,100.6,.248,.465,.535,48.9,54.5,9.1,11.1,.511,17.4,27.0,.174
100,Florida State,31,17,14,.548,6.17,7.10,,10,10,,11,4,,4,8,,2201,2230,,68.6,102.7,.303,.341,.522,49.8,55.7,12.3,14.8,.490,15.5,31.6,.214
101,Florida,32,19,13,.594,12.76,8.08,,9,9,,12,5,,4,6,,2265,2115,,66.4,105.8,.347,.461,.538,49.2,53.1,12.1,14.0,.499,15.8,31.7,.255
102,Fordham,32,16,16,.500,-0.80,-0.11,,8,10,,10,4,,3,9,,2115,2137,,68.6,94.8,.297,.427,.496,49.9,51.4,10.5,9.9,.457,16.5,27.0,.216
103,Fresno State,32,19,13,.594,8.76,3.05,,8,9,,11,4,,5,8,,2069,1872,,61.8,102.6,.305,.383,.535,53.1,50.1,9.3,8.9,.501,15.8,27.9,.221
104,Furman,34,22,12,.647,6.23,-1.41,,12,6,,12,3,,8,8,,2640,2336,,66.1,115.0,.226,.517,.585,49.8,62.5,12.2,9.7,.562,13.7,27.7,.171
