,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
281,South Carolina State,31,15,16,.484,-12.85,-8.20,,7,7,,8,5,,5,8,,2227,2249,,73.7,97.3,.374,.396,.526,47.1,54.8,9.3,8.7,.489,18.1,27.1,.260
282,South Carolina Upstate,31,15,16,.484,-9.11,-4.18,,10,6,,6,7,,8,8,,2208,2258,,69.5,104.0,.375,.413,.538,52.7,55.5,9.0,9.8,.502,15.8,29.1,.263
283,South Carolina,31,18,13,.581,7.43,8.66,,9,9,,12,4,,4,7,,2200,2178,,72.2,97.0,.403,.358,.513,48.7,55.5,11.4,8.4,.469,18.4,31.2,.283
284,South Dakota State NCAA,34,30,4,.882,7.21,-3.76,,18,0,,14,0,,10,3,,2948,2495,,71.9,101.7,.208,.412,.535,47.0,44.3,6.7,6.8,.511,14.7,23.0,.154
285,South Dakota,31,19,12,.613,-3.92,-5.09,,11,7,,11,4,,6,7,,2329,2198,,67.5,104.3,.333,.372,.553,47.1,38.2,6.7,6.1,.520,14.7,21.3,.241
286,South Florida,31,8,23,.258,-2.85,4.60,,3,15,,6,10,,2,9,,1781,2012,,65.9,98.5,.336,.416,.520,50.0,59.5,8.6,9.3,.483,16.6,26.8,.239
287,Southeast Missouri State,32,14,18,.438,-6.85,-4.35,,8,9,,8,5,,5,10,,2418,2473,,72.6,106.0,.395,.373,.557,51.9,49.5,9.0,8.4,.517,16.3,28.7,.289
288,Southeastern Louisiana,33,19,14,.576,-8.97,-5.66,,10,4,,10,1,,5,10,,2611,2573,,73.6,105.6,.256,.381,.554,52.7,47.5,10.3,7.7,.530,17.5,32.4,.182
289,Southern California NCAA,33,26,7,.788,13.14,6.47,,14,6,,13,3,,9,3,,2395,2175,,67.5,97.0,.263,.346,.481,45.8,50.0,9.5,8.3,.447,12.7,27.2,.187
290,SIU Edwardsville,32,11,21,.344,-10.02,-4.35,,5,13,,8,5,,3,13,,2161,2238,,69.1,100.0,.361,.402,.519,48.6,57.8,10.9,9.3,.477,17.0,29.9,.263
291,Southern Illinois,31,16,15,.516,3.16,1.06,,9,9,,11,4,,4,8,,1985,1902,,62.9,97.5,.275,.320,.529,50.4,46.5,9.1,11.1,.495,16.8,22.8,.206
292,Southern Methodist,31,23,8,.742,11.78,4.59,,13,4,,16,0,,6,5,,2305,2082,,69.4,96.4,.253,.335,.479,49.5,52.3,10.2,12.5,.448,14.5,30.0,.176
293,Southern Mississippi,33,7,26,.212,-13.49,-0.30,,1,17,,3,11,,1,14,,2126,2471,,68.3,108.9,.277,.428,.559,52.0,57.0,10.0,7.2,.534,14.6,27.9,.196
294,Southern Utah,31,20,11,.645,-1.95,-5.12,,14,6,,11,3,,7,7,,2430,2257,,71.2,100.6,.286,.391,.539,46.8,46.7,8.1,9.5,.505,15.8,22.2,.215
295,Southern,31,17,14,.548,-4.87,-6.67,,11,6,,9,2,,8,11,,2229,2103,,72.1,93.7,.447,.360,.539,52.3,49.9,9.1,10.1,.495,23.1,30.4,.317
296,St. Bonaventure,30,21,9,.700,8.25,4.28,,12,5,,13,2,,5,4,,2110,1991,,66.6,99.2,.229,.446,.525,49.7,58.9,8.0,7.2,.500,16.9,27.2,.164
297,St. Francis (NY),30,10,20,.333,-13.35,-7.80,,7,11,,3,9,,7,9,,2017,2116,,68.2,102.5,.325,.308,.539,50.6,50.0,9.1,10.0,.510,16.7,29.1,.224
298,St. John's (NY),32,17,15,.531,12.07,6.64,,8,11,,12,7,,4,7,,2547,2373,,74.2,99.2,.332,.383,.526,50.7,50.5,8.2,9.0,.489,18.4,31.5,.238
299,St. Thomas (MN),30,10,20,.333,-10.68,-5.12,,4,14,,5,8,,3,12,,2241,2260,,68.2,110.4,.310,.405,.593,54.5,47.5,5.0,10.0,.567,15.0,23.3,.226
300,Stanford,32,16,16,.500,6.83,9.15,,8,12,,10,5,,3,9,,2124,2198,,66.8,102.4,.290,.391,.539,44.9,49.0,10.7,10.7,.514,14.7,22.9,.199
301,Stephen F. Austin,31,22,9,.710,3.38,-1.25,,14,4,,13,3,,7,4,,2317,2110,,71.9,94.3,.366,.379,.525,47.8,52.7,9.9,8.7,.486,21.6,30.9,.261
302,Stetson,30,11,19,.367,-10.20,-3.93,,5,11,,7,8,,4,11,,2090,2144,,67.5,104.2,.241,.411,.543,49.0,55.5,9.1,8.5,.522,15.2,26.8,.166
303,Stony Brook,31,18,13,.581,-6.63,-5.43,,10,8,,13,4,,5,9,,2261,2267,,68.6,106.2,.232,.408,.544,51.2,51.0,8.4,7.8,.524,15.3,29.2,.159
304,Syracuse,33,16,17,.485,9.89,7.59,,9,11,,11,5,,3,8,,2553,2477,,68.5,107.6,.235,.487,.535,51.0,70.3,9.3,9.0,.506,14.3,32.1,.177
305,Tarleton State,31,14,17,.452,-2.82,-0.15,,9,9,,10,5,,4,12,,2002,2025,,65.7,99.0,.352,.420,.545,52.9,58.9,7.8,13.3,.513,21.4,32.4,.248
306,Temple,29,17,12,.586,4.77,4.46,,10,7,,11,3,,5,6,,1936,1927,,67.1,98.2,.317,.366,.495,48.3,56.3,9.6,9.9,.455,14.8,29.3,.230
307,Tennessee-Martin,30,8,22,.267,-10.85,-2.75,,4,14,,5,8,,2,13,,2067,2206,,70.6,104.2,.363,.388,.535,50.5,55.5,9.7,12.8,.497,15.8,30.5,.261
308,Tennessee State,32,14,18,.438,-9.02,-6.99,,8,10,,8,5,,5,11,,2282,2246,,69.8,100.2,.382,.376,.536,48.8,54.8,9.9,9.8,.497,17.8,28.1,.274
309,Tennessee Tech,32,11,21,.344,-7.06,-2.82,,7,10,,7,7,,3,12,,2328,2357,,70.6,103.5,.229,.400,.535,49.1,62.2,9.4,7.9,.509,16.0,29.7,.168
310,Tennessee NCAA,33,26,7,.788,20.84,10.42,,14,4,,16,0,,6,5,,2415,2071,,68.7,90.7,.316,.394,.499,47.7,51.3,9.6,7.8,.462,20.1,27.5,.223
311,Texas A&M-Corpus Christi NCAA,35,23,12,.657,-6.57,-8.89,,7,7,,9,4,,7,6,,2682,2454,,72.3,96.6,.393,.434,.532,47.0,55.3,8.9,10.0,.484,20.0,27.8,.296
312,Texas A&M,36,24,12,.667,12.13,7.27,,9,9,,14,4,,5,5,,2622,2402,,68.7,95.8,.332,.377,.517,49.6,64.6,10.6,12.6,.478,20.9,33.5,.241
313,UT Arlington,29,11,18,.379,-5.20,-0.65,,7,10,,8,4,,3,13,,1948,1993,,66.5,99.8,.312,.398,.517,49.9,65.1,10.2,7.9,.483,17.2,31.6,.220
314,TCU NCAA,32,20,12,.625,12.89,9.80,,8,10,,12,4,,4,6,,2179,2080,,67.1,96.5,.267,.346,.508,43.9,54.2,10.4,8.6,.477,16.2,26.1,.190
315,UTEP,32,19,13,.594,0.20,-0.17,,11,7,,11,5,,7,6,,2203,2129,,67.9,97.3,.388,.330,.524,53.3,50.1,8.4,6.2,.497,19.0,29.5,.247
316,Texas-Rio Grande Valley,31,8,23,.258,-9.78,-0.88,,3,15,,4,9,,3,12,,2212,2438,,73.2,107.5,.360,.393,.542,52.8,60.6,9.5,9.4,.509,15.4,32.7,.250
317,UTSA,32,10,22,.313,-10.29,-1.33,,3,15,,8,10,,1,11,,2153,2313,,70.0,102.8,.319,.387,.545,49.1,56.7,9.7,9.1,.526,15.8,25.5,.205
318,Texas Southern NCAA,31,19,12,.613,-2.98,-6.88,,13,5,,7,2,,8,10,,2153,2032,,69.6,93.9,.341,.356,.481,46.5,47.9,11.5,6.5,.448,15.0,27.7,.222
319,Texas State,29,21,8,.724,0.37,-2.63,,12,3,,12,1,,7,6,,2043,1834,,65.6,96.1,.339,.389,.522,48.1,53.6,8.7,7.3,.486,19.6,28.4,.241
320,Texas Tech NCAA,34,25,9,.735,19.97,8.59,,12,6,,18,0,,3,7,,2438,2051,,67.5,88.4,.321,.455,.490,45.4,53.8,10.3,7.3,.455,20.8,26.1,.219
321,Texas NCAA,32,21,11,.656,17.22,8.51,,10,8,,16,3,,4,7,,2187,1908,,64.3,92.1,.368,.336,.502,48.9,43.9,9.1,9.3,.466,20.2,29.8,.247
322,Toledo,33,26,7,.788,7.05,-3.33,,17,3,,13,1,,9,5,,2662,2260,,70.4,97.2,.233,.419,.488,46.6,49.3,7.3,10.8,.465,13.7,26.8,.156
323,Towson,33,25,8,.758,6.41,-2.77,,15,3,,12,2,,11,4,,2414,2111,,66.0,96.6,.312,.414,.513,45.1,45.5,7.1,8.5,.477,17.0,26.2,.224
324,Troy,31,20,11,.645,-3.15,-3.54,,10,6,,10,3,,8,6,,2144,2018,,69.0,93.6,.323,.371,.509,47.4,50.9,11.6,10.6,.473,18.9,26.6,.227
325,Tulane,29,14,15,.483,6.84,5.43,,10,8,,9,4,,3,8,,2121,2080,,69.3,102.1,.285,.453,.526,55.3,65.3,7.4,12.5,.496,17.3,32.7,.203
326,Tulsa,31,11,20,.355,1.79,4.31,,4,14,,8,8,,1,10,,2089,2167,,67.3,103.8,.290,.447,.547,51.6,54.7,10.6,10.9,.522,17.5,30.1,.200
327,UCLA NCAA,32,25,7,.781,20.36,8.80,,15,5,,14,1,,8,4,,2444,2074,,67.1,94.7,.292,.378,.512,47.2,51.1,6.6,7.9,.477,17.6,24.8,.211
328,Utah State,34,18,16,.529,10.86,4.98,,8,10,,9,7,,4,7,,2497,2273,,67.3,97.9,.286,.387,.525,47.0,55.1,9.1,8.9,.495,16.3,22.5,.203
329,Utah Valley,32,20,12,.625,2.68,-1.29,,10,8,,11,2,,6,9,,2279,2084,,68.2,93.7,.274,.374,.478,44.2,51.2,11.1,8.4,.447,14.1,24.9,.186
330,Utah,31,11,20,.355,5.90,7.06,,4,16,,7,9,,2,9,,2161,2197,,67.2,104.6,.286,.351,.523,49.8,50.5,9.2,10.4,.494,13.2,29.2,.201
331,Valparaiso,32,14,18,.438,-1.29,1.15,,6,12,,8,8,,3,8,,2264,2257,,67.4,101.5,.222,.365,.545,50.8,50.4,8.4,8.6,.520,15.0,20.1,.165
332,Vanderbilt,34,18,16,.529,11.36,8.25,,7,11,,10,8,,5,7,,2405,2299,,69.2,97.4,.346,.395,.523,50.6,56.1,9.4,12.6,.482,18.3,28.3,.253
333,Vermont NCAA,33,28,5,.848,7.75,-6.32,,17,1,,16,0,,10,4,,2473,1990,,65.1,92.2,.221,.376,.498,45.0,43.6,7.5,8.8,.475,15.7,18.5,.152
334,Villanova NCAA,33,26,7,.788,19.47,9.92,,16,4,,12,1,,8,5,,2397,2082,,64.2,97.9,.251,.430,.508,48.1,50.0,7.3,10.9,.475,16.3,28.0,.187
335,Virginia Commonwealth,31,22,9,.710,9.99,4.99,,14,4,,12,4,,9,2,,2072,1917,,68.4,90.1,.373,.355,.487,51.5,53.6,11.2,7.0,.443,21.2,32.2,.262
336,VMI,31,16,15,.516,-1.87,-1.98,,9,9,,9,4,,6,9,,2451,2282,,69.0,105.5,.241,.468,.521,50.3,47.3,9.7,11.5,.492,12.8,28.5,.178
337,Virginia Tech NCAA,35,23,12,.657,14.17,5.71,,11,9,,11,4,,7,6,,2476,2180,,63.5,97.8,.252,.370,.519,48.5,50.6,9.8,9.4,.487,16.7,26.1,.188
338,Virginia,32,19,13,.594,8.29,5.92,,12,8,,10,6,,6,6,,2002,1926,,60.2,99.9,.235,.380,.514,50.0,52.0,9.4,10.0,.488,15.9,29.0,.165
339,Wagner,27,21,6,.778,-0.92,-8.81,,13,3,,12,1,,9,5,,2010,1747,,68.3,93.0,.394,.395,.512,46.4,52.0,8.9,7.1,.476,19.7,26.7,.264
340,Wake Forest,32,23,9,.719,13.27,4.02,,13,7,,16,2,,5,5,,2543,2247,,71.0,97.4,.287,.362,.507,47.7,49.0,10.6,7.6,.475,15.4,26.1,.202
341,Washington State,34,20,14,.588,12.75,6.02,,11,9,,13,7,,6,5,,2436,2207,,67.4,95.9,.309,.354,.510,48.8,48.3,7.3,9.2,.470,18.1,29.6,.228
342,Washington,32,17,15,.531,5.58,7.27,,11,9,,11,6,,3,7,,2260,2314,,70.4,101.5,.302,.341,.532,53.8,54.3,7.4,9.5,.499,18.8,35.5,.217
343,Weber State,33,21,12,.636,-1.44,-4.92,,13,7,,9,6,,8,5,,2513,2319,,71.1,98.5,.254,.394,.539,51.0,50.9,7.5,5.0,.512,18.3,24.3,.184
344,West Virginia,33,16,17,.485,10.28,10.80,,4,14,,12,5,,1,10,,2259,2276,,68.5,100.7,.341,.369,.540,52.8,53.2,10.1,7.5,.506,19.4,33.6,.243
345,Western Carolina,32,11,21,.344,-10.35,-1.77,,5,13,,8,5,,2,14,,2261,2472,,69.3,110.2,.293,.452,.553,50.0,52.9,9.0,11.4,.525,12.7,27.7,.211
346,Western Illinois,31,16,15,.516,-5.19,-5.23,,7,11,,9,6,,7,8,,2439,2390,,72.4,104.7,.307,.330,.561,47.8,44.1,7.3,7.7,.523,15.3,21.6,.239
347,Western Kentucky,32,19,13,.594,3.45,0.38,,11,7,,13,4,,5,6,,2414,2214,,71.0,97.5,.158,.442,.510,51.2,59.3,9.2,7.6,.493,17.5,29.4,.112
348,Western Michigan,31,8,23,.258,-13.13,-1.92,,4,16,,4,10,,2,13,,2027,2329,,66.5,111.5,.303,.401,.553,52.1,48.9,10.6,12.4,.526,13.1,31.1,.213
349,Wichita State,28,15,13,.536,8.33,6.22,,6,9,,11,6,,3,5,,1917,1858,,67.8,96.6,.303,.368,.507,48.5,52.3,9.8,11.1,.473,17.4,28.3,.215
350,William & Mary,32,5,27,.156,-14.10,-2.07,,4,14,,4,10,,1,14,,2044,2380,,69.9,105.2,.269,.413,.553,50.3,52.3,12.9,14.0,.530,15.9,26.5,.189
351,Winthrop,32,23,9,.719,-1.55,-3.62,,14,2,,13,0,,7,7,,2407,2246,,69.3,100.1,.327,.405,.534,48.0,44.8,10.4,8.2,.502,17.1,25.8,.231
352,Wisconsin NCAA,31,24,7,.774,13.85,9.69,,15,5,,12,4,,9,2,,2192,2063,,67.1,99.1,.276,.337,.520,49.8,46.0,6.9,9.0,.494,15.0,24.1,.188
353,Wofford,32,19,13,.594,2.14,-1.43,,10,8,,11,4,,7,8,,2322,2120,,65.6,100.6,.285,.461,.561,47.0,49.3,9.3,8.6,.531,18.3,21.5,.211
354,Wright State NCAA,34,21,13,.618,-2.12,-5.66,,15,7,,12,3,,7,7,,2566,2416,,69.5,102.2,.256,.346,.534,48.8,41.3,10.6,6.7,.507,16.2,29.3,.182
355,Wyoming NCAA,34,25,9,.735,9.87,4.12,,13,5,,14,1,,8,5,,2466,2227,,66.3,97.3,.241,.382,.501,48.0,42.3,7.7,8.5,.472,14.1,24.2,.174
356,Xavier,32,19,13,.594,12.98,8.29,,8,11,,14,5,,4,6,,2364,2214,,69.2,98.5,.255,.364,.516,48.2,48.5,9.5,9.6,.484,16.1,26.1,.190
357,Yale NCAA,30,19,11,.633,0.07,-1.97,,11,3,,10,3,,6,6,,2170,2065,,70.3,97.5,.309,.413,.515,49.6,47.9,10.2,9.7,.486,16.5,26.1,.210
358,Youngstown State,32,18,14,.563,-6.16,-7.19,,12,9,,12,7,,6,7,,2329,2229,,67.3,103.0,.279,.360,.533,48.3,49.4,8.6,8.7,.502,15.3,27.7,.202
