,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced,Opponent Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
56,Chattanooga,26,18,8,.692,-1.11,-2.48,,9,7,,9,3,,9,4,,1888,1801,,68.6,99.9,.232,.356,.537,50.7,49.1,7.5,10.7,.515,17.0,24.5,.164
57,Chicago State,9,0,9,.000,-31.33,1.90,,0,0,,0,0,,0,7,,499,798,,71.2,124.5,.328,.367,.619,62.0,59.0,9.0,8.8,.601,13.9,37.9,.228
58,Cincinnati,23,12,11,.522,4.22,7.44,,8,6,,5,5,,5,5,,1585,1659,,71.3,101.2,.378,.351,.541,48.9,56.2,9.6,10.3,.496,16.6,25.3,.285
59,Citadel,25,13,12,.520,-5.58,-0.96,,5,11,,11,3,,1,8,,2019,1959,,74.9,104.6,.268,.346,.534,49.7,44.6,9.3,8.7,.501,13.3,25.0,.203
60,Clemson NCAA,23,16,7,.696,13.50,10.20,,10,6,,11,1,,2,5,,1502,1426,,64.9,95.1,.296,.404,.518,49.8,51.0,10.1,9.7,.488,19.1,26.6,.206
61,Cleveland State NCAA,26,19,7,.731,-4.17,-5.05,,16,4,,9,2,,8,5,,1858,1835,,67.6,101.9,.372,.424,.530,50.2,53.1,9.2,7.1,.488,17.4,31.8,.271
62,Coastal Carolina,23,16,7,.696,-2.15,-8.15,,9,5,,12,1,,3,5,,1836,1535,,71.8,92.4,.289,.459,.484,43.3,54.5,10.8,6.0,.454,16.9,26.5,.194
63,Colgate NCAA,15,14,1,.933,19.16,1.43,,11,1,,8,1,,6,0,,1295,1029,,72.2,94.2,.250,.370,.484,46.7,42.8,6.9,6.9,.456,14.5,25.4,.169
64,College of Charleston,19,9,10,.474,-4.10,-2.28,,6,4,,8,6,,1,3,,1341,1329,,64.7,105.3,.329,.398,.550,50.6,51.8,7.2,8.9,.517,15.5,25.8,.238
65,Colorado State,24,18,6,.750,8.56,-0.49,,14,4,,10,1,,6,4,,1791,1571,,69.4,94.3,.277,.442,.499,48.4,53.6,9.0,10.6,.476,17.3,26.1,.178
66,Colorado NCAA,30,22,8,.733,16.74,6.98,,14,6,,11,1,,6,6,,2191,1898,,66.3,95.5,.280,.348,.510,46.8,48.0,6.9,7.9,.477,17.4,25.6,.204
67,Columbia,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
68,Connecticut NCAA,22,15,7,.682,17.12,9.21,,11,6,,7,3,,6,3,,1596,1422,,66.6,96.5,.369,.330,.504,46.6,46.5,8.2,6.7,.462,17.0,29.5,.261
69,Coppin State,22,9,13,.409,-11.28,-4.97,,8,4,,5,3,,4,9,,1602,1741,,79.3,99.7,.270,.408,.512,56.3,48.8,9.1,9.5,.479,17.4,32.5,.198
70,Cornell,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
71,Creighton NCAA,28,20,8,.714,17.59,8.91,,14,6,,11,3,,7,4,,2155,1912,,69.5,97.4,.257,.390,.499,50.3,51.3,8.2,8.7,.469,15.4,28.2,.181
72,Dartmouth,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,
73,Davidson,21,13,8,.619,10.67,4.07,,7,4,,7,4,,4,2,,1518,1336,,63.7,99.3,.289,.412,.522,46.2,47.9,7.4,8.3,.488,14.7,21.7,.211
74,Dayton,23,14,9,.609,7.46,4.94,,9,7,,8,3,,4,6,,1614,1556,,66.4,99.2,.267,.377,.505,49.5,49.7,8.2,9.8,.483,15.1,28.4,.171
75,Delaware State,19,3,16,.158,-23.00,-5.23,,1,11,,3,6,,0,10,,1345,1629,,77.1,110.4,.430,.382,.572,53.5,54.2,10.9,11.1,.536,16.4,32.0,.304
76,Delaware,15,7,8,.467,-4.23,-4.09,,5,4,,6,3,,1,4,,1013,1012,,67.8,99.5,.307,.343,.516,48.4,44.3,9.5,8.3,.481,14.9,25.9,.221
77,Denver,21,2,19,.095,-17.24,-6.64,,1,13,,2,10,,0,9,,1466,1662,,71.4,109.6,.408,.386,.593,53.2,42.3,9.0,9.1,.551,16.9,26.3,.314
78,DePaul,19,5,14,.263,3.62,9.78,,2,13,,2,8,,2,5,,1250,1367,,70.6,100.5,.353,.406,.519,49.9,55.7,10.2,9.1,.480,17.2,31.6,.254
79,Detroit Mercy,22,12,10,.545,-2.84,-5.39,,10,6,,7,5,,5,5,,1683,1627,,68.2,107.8,.224,.425,.561,50.9,62.1,8.0,8.3,.541,16.1,28.9,.159
80,Dixie State,21,8,13,.381,-14.99,-4.42,,4,10,,5,7,,3,6,,1461,1603,,74.0,103.1,.349,.363,.535,53.0,53.2,10.0,9.3,.508,17.0,31.3,.232
81,Drake NCAA,29,25,4,.862,9.53,-1.65,,15,3,,14,1,,9,2,,2245,1875,,66.8,96.0,.286,.363,.515,46.2,45.6,8.2,6.9,.479,17.1,24.9,.210
82,Drexel NCAA,19,12,7,.632,0.26,-4.37,,4,5,,3,2,,4,5,,1358,1270,,65.9,101.4,.272,.344,.530,46.3,41.7,9.4,9.0,.496,14.6,24.3,.205
83,Duke,24,13,11,.542,14.04,9.33,,9,9,,8,5,,3,6,,1824,1711,,69.1,102.1,.319,.322,.543,48.7,48.8,9.1,10.2,.513,17.4,28.9,.225
84,Duquesne,18,9,9,.500,3.47,3.64,,7,7,,5,2,,2,5,,1205,1208,,68.4,98.2,.355,.391,.511,49.8,56.9,9.9,8.5,.473,16.9,30.1,.249
85,East Carolina,19,8,11,.421,1.13,3.97,,2,10,,7,6,,1,4,,1269,1291,,68.9,98.0,.376,.425,.531,51.0,56.1,9.6,8.3,.492,18.5,27.3,.267
86,East Tennessee State,25,13,12,.520,2.07,0.73,,8,7,,8,4,,3,5,,1736,1654,,67.6,97.4,.313,.450,.525,47.8,56.0,9.5,9.2,.495,17.9,25.7,.217
87,Eastern Illinois,27,9,18,.333,-12.26,-6.75,,6,14,,5,7,,4,11,,1874,2023,,70.2,105.3,.310,.373,.551,51.1,55.4,10.4,7.6,.519,16.4,29.5,.226
88,Eastern Kentucky,29,22,7,.759,-2.22,-7.77,,15,5,,10,2,,9,4,,2372,2137,,76.1,95.1,.315,.357,.536,52.5,57.4,8.0,6.9,.502,21.8,29.6,.228
89,Eastern Michigan,18,6,12,.333,-13.50,-0.50,,3,11,,5,4,,1,8,,1267,1362,,71.4,106.0,.254,.430,.575,53.3,63.2,8.4,6.2,.559,19.0,29.3,.171
90,Eastern Washington NCAA,23,16,7,.696,2.42,-5.49,,12,3,,7,2,,6,5,,1795,1597,,71.7,96.9,.273,.354,.502,49.3,44.3,7.9,6.1,.469,14.6,25.6,.197
91,Elon,19,10,9,.526,-4.47,-3.58,,4,7,,4,2,,3,6,,1249,1235,,66.8,97.3,.408,.411,.525,49.3,43.9,9.4,10.1,.493,16.7,21.9,.268
92,Evansville,25,9,16,.360,-4.71,0.13,,7,11,,8,4,,1,10,,1619,1740,,62.4,110.0,.343,.292,.596,54.4,43.4,8.2,8.5,.574,16.5,24.1,.239
93,Fairfield,27,10,17,.370,-10.71,-5.82,,7,11,,4,8,,3,8,,1668,1800,,65.2,101.2,.307,.334,.518,49.4,49.8,9.3,10.0,.491,14.3,26.6,.204
94,Fairleigh Dickinson,24,9,15,.375,-8.39,-4.68,,8,10,,4,6,,5,9,,1801,1890,,71.9,108.3,.339,.385,.557,52.2,58.4,9.6,8.7,.530,16.6,33.1,.234
95,Florida A&M,20,8,12,.400,-11.95,-9.15,,7,5,,4,1,,4,10,,1314,1370,,70.9,96.6,.339,.363,.508,50.1,48.2,10.4,6.4,.479,18.4,31.8,.222
96,Florida Atlantic,23,13,10,.565,-1.85,-4.74,,7,5,,7,1,,4,7,,1796,1537,,70.7,94.1,.347,.365,.512,44.6,44.8,7.6,7.3,.476,17.9,23.1,.241
97,Florida Gulf Coast,18,10,8,.556,-9.45,-6.95,,4,4,,7,4,,2,2,,1292,1242,,72.5,95.2,.255,.374,.506,49.1,46.2,9.8,10.0,.479,17.5,27.9,.175
98,Florida International,26,9,17,.346,-10.96,-3.01,,2,15,,7,8,,2,9,,1914,1985,,72.8,103.4,.329,.317,.559,54.0,46.2,9.5,9.1,.529,19.5,32.4,.235
99,Florida State NCAA,22,16,6,.727,17.98,9.39,,11,4,,12,1,,3,4,,1736,1547,,70.3,98.8,.363,.400,.511,46.8,49.4,10.1,7.5,.465,16.8,31.4,.269
100,Florida NCAA,23,14,9,.609,14.91,10.78,,9,7,,6,3,,5,5,,1701,1606,,70.8,98.7,.348,.353,.513,49.2,51.8,10.5,9.4,.475,17.6,31.4,.245
101,Fordham,14,2,12,.143,-10.44,4.34,,2,11,,2,5,,0,6,,725,932,,64.2,103.7,.278,.478,.540,56.5,65.4,10.6,8.8,.515,16.7,30.4,.191
102,Fresno State,24,12,12,.500,-3.52,0.11,,9,11,,7,5,,4,6,,1591,1618,,66.9,100.2,.322,.383,.536,47.6,46.6,9.9,9.6,.500,17.2,25.3,.236
103,Furman,25,16,9,.640,6.49,-1.19,,10,5,,11,1,,5,7,,1990,1723,,70.9,96.8,.294,.388,.525,48.4,51.3,10.1,8.7,.504,18.4,25.8,.189
