,,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent
312,Texas Christian,26,12,14,.462,2.83,7.22,,5,11,,6,7,,3,6,,1738,1852,,1045,684,1523,.449,177,528,.335,307,447,.687,267,893,402,182,93,301,420
313,Texas-El Paso,24,12,12,.500,0.91,1.10,,8,8,,10,2,,2,9,,1698,1644,,965,573,1322,.433,148,430,.344,350,491,.713,193,849,266,124,65,316,380
314,Texas-Rio Grande Valley,19,9,10,.474,-10.23,-5.83,,2,5,,8,3,,1,6,,1376,1287,,760,436,1073,.406,105,351,.299,310,453,.684,224,757,259,126,59,355,419
315,Texas-San Antonio,26,15,11,.577,-1.38,-0.33,,9,7,,12,2,,2,8,,2050,1906,,1040,650,1537,.423,199,589,.338,407,545,.747,250,952,328,144,80,361,409
316,Texas Southern NCAA,24,16,8,.667,-7.49,-10.96,,10,3,,8,2,,5,6,,1795,1672,,965,581,1460,.398,174,562,.310,336,480,.700,248,853,286,160,83,355,468
317,Texas State,25,18,7,.720,-3.92,-7.44,,12,3,,8,3,,9,3,,1660,1543,,1015,537,1272,.422,179,511,.350,290,416,.697,201,745,280,147,70,374,404
318,Texas Tech NCAA,27,17,10,.630,16.55,6.92,,9,8,,11,4,,5,4,,1972,1712,,1090,583,1421,.410,192,549,.350,354,518,.683,267,891,261,156,77,434,547
319,Texas NCAA,26,19,7,.731,16.25,9.82,,11,6,,8,5,,6,2,,1956,1789,,1055,624,1511,.413,163,505,.323,378,555,.681,265,892,258,158,84,328,466
320,Toledo,30,21,9,.700,7.25,-1.22,,15,4,,12,1,,7,5,,2433,2179,,1215,811,1905,.426,228,766,.298,329,451,.729,358,1120,367,163,87,374,530
321,Towson,18,4,14,.222,-9.00,-1.50,,3,9,,4,4,,0,6,,1214,1349,,730,478,1067,.448,167,436,.383,226,313,.722,192,626,232,98,59,195,318
322,Troy,28,11,17,.393,-11.62,-3.62,,4,12,,7,4,,2,11,,1829,1942,,1125,696,1627,.428,221,622,.355,329,490,.671,262,1008,372,224,110,375,516
323,Tulane,23,10,13,.435,1.05,3.62,,4,12,,6,6,,3,6,,1470,1529,,920,538,1281,.420,197,551,.358,256,384,.667,247,890,367,122,78,344,388
324,Tulsa,23,11,12,.478,4.24,5.48,,7,9,,7,5,,4,4,,1573,1509,,920,520,1272,.409,181,540,.335,288,441,.653,252,806,287,172,58,338,394
325,UCLA NCAA,26,17,9,.654,12.39,8.04,,13,6,,11,1,,5,6,,1894,1781,,1070,640,1459,.439,200,569,.351,301,409,.736,205,800,316,132,72,308,475
326,Utah State NCAA,28,20,8,.714,11.22,0.74,,13,4,,10,2,,5,3,,2052,1743,,1120,614,1578,.389,214,646,.331,301,406,.741,216,853,319,184,100,388,500
327,Utah Valley,22,11,11,.500,-4.40,-2.60,,9,4,,8,4,,3,6,,1632,1635,,885,565,1325,.426,157,458,.343,348,459,.758,193,713,304,148,68,249,470
328,Utah,25,12,13,.480,9.36,7.04,,8,11,,8,5,,3,7,,1803,1745,,1010,639,1427,.448,183,508,.360,284,390,.728,250,849,328,158,97,335,429
329,Valparaiso,28,10,18,.357,-3.95,1.40,,7,11,,6,6,,4,11,,1821,1902,,1130,701,1606,.436,191,574,.333,309,446,.693,252,1032,370,170,68,365,428
330,Vanderbilt,25,9,16,.360,6.68,7.28,,3,13,,6,7,,2,8,,1794,1809,,1000,646,1411,.458,178,526,.338,339,475,.714,237,867,340,168,105,345,439
331,Vermont,15,10,5,.667,2.80,-6.80,,10,4,,6,3,,4,2,,1095,951,,610,330,810,.407,101,324,.312,190,271,.701,120,467,145,76,33,192,291
332,Villanova NCAA,22,16,6,.727,18.08,9.67,,11,4,,9,0,,4,4,,1662,1477,,885,544,1219,.446,175,496,.353,214,314,.682,179,722,265,90,63,278,369
333,Virginia Commonwealth NCAA,26,19,7,.731,12.35,5.81,,10,4,,12,2,,5,3,,1864,1694,,1045,590,1457,.405,156,511,.305,358,516,.694,293,905,302,168,81,436,453
334,VMI,25,13,12,.520,0.17,-0.20,,7,7,,11,1,,1,10,,2001,1897,,1010,700,1640,.427,239,708,.338,258,382,.675,249,913,326,172,65,257,407
335,Virginia Tech NCAA,21,15,6,.714,13.69,7.07,,9,4,,10,2,,3,3,,1515,1376,,850,487,1164,.418,151,458,.330,251,359,.699,173,672,227,123,70,248,363
336,Virginia NCAA,24,18,6,.750,16.66,8.49,,13,4,,10,1,,6,3,,1647,1451,,965,529,1272,.416,161,473,.340,232,313,.741,177,700,279,123,56,223,297
337,Wagner,20,13,7,.650,-3.36,-5.91,,13,5,,7,3,,6,4,,1425,1374,,815,450,1036,.434,142,411,.345,332,459,.723,182,645,263,125,72,284,332
338,Wake Forest,22,6,16,.273,2.72,9.05,,3,15,,5,6,,1,9,,1458,1583,,885,569,1213,.469,167,442,.378,278,396,.702,181,749,306,167,104,269,330
339,Washington State,27,14,13,.519,5.81,4.62,,7,12,,11,5,,3,6,,1853,1821,,1110,649,1565,.415,161,514,.313,362,512,.707,254,936,363,188,95,352,510
340,Washington,26,5,21,.192,-0.57,9.17,,4,16,,4,7,,1,9,,1759,2012,,1040,719,1583,.454,183,524,.349,391,549,.712,313,1012,411,152,79,318,434
341,Weber State,23,17,6,.739,1.87,-6.48,,12,3,,11,0,,6,5,,1881,1594,,920,569,1341,.424,162,478,.339,294,410,.717,196,714,291,142,53,328,436
342,West Virginia NCAA,27,18,9,.667,15.89,10.70,,11,6,,8,5,,7,2,,2087,1947,,1095,716,1619,.442,195,603,.323,320,461,.694,302,962,372,168,71,401,562
343,Western Carolina,27,11,16,.407,-6.90,-1.50,,4,13,,6,5,,4,9,,2039,2129,,1105,785,1688,.465,242,671,.361,317,459,.691,233,943,377,195,71,321,526
344,Western Illinois,22,7,15,.318,-12.87,-5.01,,5,9,,2,5,,4,9,,1606,1746,,880,608,1286,.473,173,439,.394,357,491,.727,173,802,310,128,91,266,448
345,Western Kentucky,28,21,7,.750,5.57,0.46,,11,3,,11,2,,5,3,,2043,1900,,1130,696,1655,.421,234,655,.357,274,370,.741,244,869,344,190,107,369,496
346,Western Michigan,21,5,16,.238,-10.76,-0.46,,4,12,,2,9,,3,7,,1325,1511,,840,560,1291,.434,156,496,.315,235,324,.725,220,762,233,163,52,213,329
347,Wichita State NCAA,21,16,5,.762,9.45,6.81,,11,2,,10,2,,5,2,,1520,1416,,850,513,1273,.403,143,487,.294,247,361,.684,261,830,259,115,58,273,380
348,William & Mary,17,7,10,.412,-10.29,-3.06,,4,6,,1,3,,5,6,,1101,1224,,685,465,1026,.453,116,356,.326,178,244,.730,188,613,245,120,90,195,293
349,Winthrop NCAA,24,23,1,.958,5.13,-7.62,,17,1,,11,1,,10,0,,1909,1603,,960,574,1332,.431,157,485,.324,298,450,.662,184,751,249,144,80,392,503
350,Wisconsin NCAA,29,17,12,.586,17.81,12.50,,10,10,,11,5,,5,6,,2019,1865,,1170,679,1606,.423,181,549,.330,326,458,.712,245,1020,360,127,110,342,472
351,Wofford,24,15,9,.625,2.24,0.24,,12,5,,9,3,,6,4,,1784,1627,,965,599,1373,.436,195,580,.336,234,341,.686,215,779,290,154,67,311,375
352,Wright State,24,18,6,.750,7.65,-6.89,,16,4,,9,4,,9,2,,1967,1618,,965,615,1534,.401,154,504,.306,234,334,.701,244,791,272,172,51,290,465
353,Wyoming,25,14,11,.560,-1.51,-2.59,,5,9,,7,5,,4,5,,1915,1888,,1010,694,1452,.478,149,451,.330,351,492,.713,236,919,316,140,81,320,487
354,Xavier,21,13,8,.619,11.93,7.31,,6,7,,11,2,,2,5,,1571,1474,,850,541,1310,.413,165,488,.338,227,308,.737,222,768,308,116,58,241,341
355,Yale,0,0,0,,,,,0,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,
356,Youngstown State,27,15,12,.556,-9.00,-7.39,,9,11,,10,5,,5,7,,2010,1950,,1095,718,1569,.458,219,622,.352,295,411,.718,257,940,377,155,83,385,472
